age,job,marital,education,default,balance,housing,loan,month,duration,campaign,previous,poutcome,y
30,10,1,0,0,1787,0,0,10,79,1,0,3,0
33,7,1,1,0,4789,1,1,8,220,1,4,0,0
35,4,2,2,0,1350,1,0,0,185,1,1,0,0
30,4,1,2,0,1476,1,1,6,199,4,0,3,0
59,1,1,1,0,0,1,0,8,226,1,0,3,0
35,4,2,2,0,747,0,0,3,141,2,3,0,0
36,6,1,2,0,307,1,0,8,341,1,2,1,0
39,9,1,1,0,147,1,0,8,151,2,0,3,0
41,2,1,2,0,221,1,0,8,57,2,0,3,0
43,7,1,0,0,-88,1,1,0,313,1,2,0,0
39,7,1,1,0,9374,1,0,8,273,1,0,3,0
43,0,1,1,0,264,1,0,0,113,2,0,3,0
36,9,1,2,0,1109,0,0,1,328,2,0,3,0
20,8,2,1,0,502,0,0,0,261,1,0,3,1
31,1,1,1,0,360,1,1,4,89,1,1,0,0
40,4,1,2,0,194,0,1,1,189,2,0,3,0
56,9,1,1,0,4073,0,0,1,239,5,0,3,0
37,0,2,2,0,2317,1,0,0,114,1,2,0,0
25,1,2,0,0,-221,1,0,8,250,1,0,3,0
31,7,1,1,0,132,0,0,5,148,1,1,1,0
38,4,0,3,0,0,1,0,9,96,2,0,3,0
42,4,0,2,0,16,0,0,9,140,3,0,3,0
44,7,2,1,0,106,0,0,6,109,2,0,3,0
44,2,1,1,0,93,0,0,5,125,2,0,3,0
26,3,1,2,0,543,0,0,4,169,3,0,3,0
41,4,1,2,0,5883,0,0,9,182,2,0,3,0
55,1,1,0,0,627,1,0,8,247,1,0,3,0
67,5,1,3,0,696,0,0,1,119,1,2,0,0
56,6,1,1,0,784,0,1,5,149,2,0,3,0
53,0,1,1,0,105,0,1,1,74,2,0,3,0
68,5,0,1,0,4189,0,0,5,897,2,0,3,1
31,9,1,1,0,171,0,0,1,81,3,0,3,0
59,4,1,1,0,42,0,0,9,40,1,0,3,0
32,4,2,2,0,2536,1,0,1,958,6,0,3,1
49,9,1,2,0,1235,0,0,1,354,3,0,3,1
42,0,0,1,0,1811,1,0,8,150,1,0,3,0
